,url
58350,https://www.vgchartz.com/game/7415/rollercoaster-tycoon-3/
10038,https://www.vgchartz.com/game/228373/broken-sword/
16130,https://www.vgchartz.com/game/226052/marvel-vs-capcom/
8421,https://www.vgchartz.com/game/85674/horizon-zero-dawn/
52810,https://www.vgchartz.com/game/229756/nba-2k22/
17,https://www.vgchartz.com/game/147592/the-last-of-us-part-ii/
44516,https://www.vgchartz.com/game/12414/portal/
18,https://www.vgchartz.com/game/226372/the-binding-of-isaac/
38972,https://www.vgchartz.com/game/756/final-fantasy-vii/
35604,https://www.vgchartz.com/game/1253/mario-kart-64/
8426,https://www.vgchartz.com/game/230556/ghost-of-tsushima/
16132,https://www.vgchartz.com/game/226157/dead-or-alive/
38973,https://www.vgchartz.com/game/227486/monster-hunter-world-iceborne/
16133,https://www.vgchartz.com/game/73239/super-smash-bros-for-3ds/
38974,https://www.vgchartz.com/game/227556/final-fantasy-viii/
10039,https://www.vgchartz.com/game/226057/ace-attorney/
16134,https://www.vgchartz.com/game/227450/street-fighter-iv/
28113,https://www.vgchartz.com/game/226143/carnival-games/
28285,https://www.vgchartz.com/game/227273/super-mario-3d-world-bowsers-fury/
35605,https://www.vgchartz.com/game/885/gran-turismo-2/
18434,https://www.vgchartz.com/game/45079/wii-party/
18435,https://www.vgchartz.com/game/6973/mario-party-ds/
19,https://www.vgchartz.com/game/49054/uncharted-3-drakes-deception/
28286,https://www.vgchartz.com/game/3108/donkey-kong-country/
44520,https://www.vgchartz.com/game/7278/half-life/
8427,https://www.vgchartz.com/game/226104/nier/
38975,https://www.vgchartz.com/game/181292/pokemon-ultra-sun-and-ultra-moon/
28287,https://www.vgchartz.com/game/227276/super-mario-3d-all-stars/
8428,https://www.vgchartz.com/game/76807/rust/
27833,https://www.vgchartz.com/game/226096/the-experience/
44522,https://www.vgchartz.com/game/226149/payday/
44521,https://www.vgchartz.com/game/227605/battlefield-bad-company-2/
8429,https://www.vgchartz.com/game/227573/assassins-creed-ii/
8430,https://www.vgchartz.com/game/230994/harry-potter-and-the-chamber-of-secrets/
44523,https://www.vgchartz.com/game/227699/star-wars-battlefront-ii-2017/
8431,https://www.vgchartz.com/game/226230/silent-hill/
20,https://www.vgchartz.com/game/228101/ninja-gaiden/
35606,https://www.vgchartz.com/game/227568/need-for-speed-undercover/
18436,https://www.vgchartz.com/game/6091/mario-party-8/
38978,https://www.vgchartz.com/game/227484/monster-hunter-generations/
38977,https://www.vgchartz.com/game/226077/megami-tensei/
35607,https://www.vgchartz.com/game/4435/super-mario-kart/
38979,https://www.vgchartz.com/game/226327/xeno/
16135,https://www.vgchartz.com/game/227807/naruto-shippuden-ultimate-ninja-storm-4/
38980,https://www.vgchartz.com/game/758/final-fantasy-viii/
38981,https://www.vgchartz.com/game/759/final-fantasy-x/
32165,https://www.vgchartz.com/game/228174/monument-valley/
38982,https://www.vgchartz.com/game/70468/pokemon-black-2-and-white-2/
8432,https://www.vgchartz.com/game/226056/onimusha/
52812,https://www.vgchartz.com/game/227594/nba-2k17/
35608,https://www.vgchartz.com/game/71408/mario-kart-8/
16136,https://www.vgchartz.com/game/2344/tekken-3/
38984,https://www.vgchartz.com/game/227485/monster-hunter-4/
8433,https://www.vgchartz.com/game/227726/lego-star-wars-ii-the-original-trilogy/
8434,https://www.vgchartz.com/game/70350/the-last-of-us/
44525,https://www.vgchartz.com/game/877/goldeneye-007/
28114,https://www.vgchartz.com/game/229232/mario-party-superstars/
22,https://www.vgchartz.com/game/6293/harry-potter-and-the-sorcerers-stone/
23,https://www.vgchartz.com/game/226146/samurai-warriors/
38986,https://www.vgchartz.com/game/226156/inazuma-eleven/
38985,https://www.vgchartz.com/game/227656/dragon-ball-xenoverse-2/
16137,https://www.vgchartz.com/game/227657/dragon-ball-fighterz/
58353,https://www.vgchartz.com/game/43507/sid-meiers-civilization-v/
35610,https://www.vgchartz.com/game/226145/moto-racer/
8437,https://www.vgchartz.com/game/227489/grand-theft-auto-liberty-city-stories/
8436,https://www.vgchartz.com/game/221791/ghost-of-tsushima/
8435,https://www.vgchartz.com/game/227572/assassins-creed/
27834,https://www.vgchartz.com/game/227702/guitar-hero-iii-legends-of-rock/
35609,https://www.vgchartz.com/game/228360/cars/
58352,https://www.vgchartz.com/game/226147/romance-of-the-three-kingdoms/
28288,https://www.vgchartz.com/game/226311/cuphead/
52815,https://www.vgchartz.com/game/226308/kinect-sports/
44527,https://www.vgchartz.com/game/940/halo-2/
52816,https://www.vgchartz.com/game/227593/nba-2k16/
44528,https://www.vgchartz.com/game/226139/unreal/
44529,https://www.vgchartz.com/game/228290/splatoon-3/
28289,https://www.vgchartz.com/game/223537/super-mario-maker-2/
52817,https://www.vgchartz.com/game/227567/fifa-09/
38987,https://www.vgchartz.com/game/227559/final-fantasy-xii/
38988,https://www.vgchartz.com/game/227560/final-fantasy-xiii/
8438,https://www.vgchartz.com/game/227335/monster-hunter-rise/
32166,https://www.vgchartz.com/game/19685/pac-man/
8439,https://www.vgchartz.com/game/72005/cyberpunk-2077/
8440,https://www.vgchartz.com/game/228262/magicka/
25,https://www.vgchartz.com/game/12533/god-of-war-iii/
38989,https://www.vgchartz.com/game/23893/pokemon-platinum-version/
10040,https://www.vgchartz.com/game/2399/the-legend-of-zelda-ocarina-of-time/
8441,https://www.vgchartz.com/game/226332/jurassic-park/
44531,https://www.vgchartz.com/game/226218/crysis/
38990,https://www.vgchartz.com/game/226113/baldurs-gate/
28290,https://www.vgchartz.com/game/6457/super-mario-bros-2/
28291,https://www.vgchartz.com/game/35084/super-mario-galaxy-2/
16138,https://www.vgchartz.com/game/2291/super-smash-bros-melee/
52818,https://www.vgchartz.com/game/231091/madden-nfl-07/
28292,https://www.vgchartz.com/game/228149/trine/
